stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
0091_A,,海岸町3丁目,,42.3252609,140.9676978,,,,,,
0092_A,,八幡宮前,,42.3220175,140.9692896,,,,,,
0101_A,,中央町1,,42.3191793,140.9706756,,,,,,
0101_B,,中央町2,,42.3189327,140.9707217,,,,,,
0101_C,,中央町3,,42.3188691,140.9707316,,,,,,
0101_D,,中央町4,,42.3186637,140.9709259,,,,,,
0111_A,,小公園前,,42.3169624,140.9712212,,,,,,
0111_B,,小公園前,,42.3169624,140.9712212,,,,,,
0112_A,,市役所前1,,42.3151437,140.9751783,,,,,,
0112_D,,市役所前1,,42.3151437,140.9751783,,,,,,
0112_B,,市役所前2,,42.3151699,140.9751741,,,,,,
0113_A,,市役所北,,42.3160299,140.973535,,,,,,
0114_A,,市立病院前1,,42.3144513,140.9757242,,,,,,
0114_D,,市立病院前1,,42.3144513,140.9757242,,,,,,
0114_B,,市立病院前2,,42.3141545,140.9755693,,,,,,
0115_A,,千歳交差点,,42.3166768,140.9756294,,,,,,
0121_A,,市港湾部前,,42.3227268,140.971657,,,,,,
0121_B,,市港湾部前,,42.3228583,140.9716597,,,,,,
0122_A,,室蘭港,,42.3210388,140.9759906,,,,,,
0123_A,,合同庁舎前,,42.3214246,140.9734779,,,,,,
0123_B,,合同庁舎前,,42.3214007,140.9737413,,,,,,
0131_A,,文化センター前,,42.3153132,140.9699495,,,,,,
0132_A,,本町1丁目,,42.3134258,140.9702731,,,,,,
0133_A,,舟見町,,42.3104337,140.9707641,,,,,,
0141_A,,NHK前,,42.3168628,140.9787895,,,,,,
0141_B,,NHK前,,42.3166317,140.9799873,,,,,,
0142_A,,日鋼記念病院前,,42.3170917,140.98536,,,,,,
0142_B,,日鋼記念病院前,,42.3168657,140.9840349,,,,,,
0151_A,,母恋駅前1,,42.3170959,140.9900115,,,,,,
0151_B,,母恋駅前2,,42.3168909,140.9880827,,,,,,
0151_C,,母恋駅前3,,42.3165016,140.9897188,,,,,,
0161_A,,北町中央,,42.3147892,140.9905603,,,,,,
0161_B,,北町中央,,42.3137893,140.9909648,,,,,,
0162_A,,交番前,,42.3132058,140.9913619,,,,,,
0162_B,,交番前,,42.3125875,140.9917046,,,,,,
0163_A,,南町2丁目,,42.311927,140.9933086,,,,,,
0163_B,,南町2丁目,,42.3115328,140.9939778,,,,,,
0164_A,,宮前,,42.3109149,140.9955925,,,,,,
0164_B,,宮前,,42.3104577,140.9964522,,,,,,
0165_A,,南町4丁目,,42.3091783,140.9984665,,,,,,
0165_B,,南町4丁目,,42.3091645,140.9983136,,,,,,
0166_A,,地球岬団地,,42.3073376,141.0004594,,,,,,
0170_A,,ラッパ森,,42.3180053,140.9948082,,,,,,
